ID;Giocatore;Ruolo;Ruolo2;Squadra;Q.Iniziale;Q.Attuale;+/-
100;AUDERO E.;P;P;CREMONESE;1,1;1,1;0
103;BUTEZ J.;P;P;COMO;16,4;17,4;-1
104;CAPRILE E.;P;P;CAGLIARI;23,4;22,4;1
105;CARNESECCHI M.;P;P;ATALANTA;36,4;34,4;2
175;CAVLINA N.;P;P;COMO;1,1;1,1;0
107;CONTINI N.;P;P;NAPOLI;1,1;1,1;0
108;CORVI E.;P;P;PARMA;1,1;1,1;0
109;DAJCAR M.;P;P;ATALANTA;1,1;1,1;0
110;DE GEA D.;P;P;FIORENTINA;34,4;35,4;-1
111;DI GENNARO R.;P;P;INTER;1,1;1,1;0
112;DI GREGORIO M.;P;P;JUVENTUS;39,4;40,4;-1
114;FALCONE W.;P;P;LECCE;17,4;18,4;-1
115;FRUCHTL C.;P;P;LECCE;1,1;1,1;0
117;FURLANETTO A.;P;P;LAZIO;1,1;1,1;0
118;GOLLINI P.;P;P;ROMA;1,1;1,1;0
167;ISRAEL F.;P;P;TORINO;22,4;19,4;3
120;LEALI N.;P;P;GENOA;20,4;21,4;-1
169;LEZZERINI L.;P;P;FIORENTINA;1,1;1,1;0
123;MAIGNAN M.;P;P;MILAN;39,4;37,4;2
124;MALOVEC A.;P;P;CREMONESE;1,1;1,1;0
125;MANDAS C.;P;P;LAZIO;1,1;1,1;0
127;MARTINELLI T.;P;P;FIORENTINA;1,1;1,1;0
128;MARTINEZ J.;P;P;INTER;1,1;1,1;0
129;MERET A.;P;P;NAPOLI;41,4;42,4;-1
130;MILINKOVIC V.;P;P;NAPOLI;32,4;31,4;1
131;MONTIPO L.;P;P;VERONA;17,4;11,4;6
172;MURIC A.;P;P;SASSUOLO;1,1;1,1;0
133;NAVA L.;P;P;CREMONESE;1,1;1,1;0
166;NICOLAS;P;P;PISA;1,1;1,1;0
168;NUNZIANTE A.;P;P;UDINESE;1,1;1,1;0
134;OKOYE M.;P;P;UDINESE;1,1;1,1;0
135;PADELLI D.;P;P;UDINESE;1,1;1,1;0
136;PALEARI A.;P;P;TORINO;1,1;1,1;0
137;PERILLI S.;P;P;VERONA;1,1;1,1;0
138;PERIN M.;P;P;JUVENTUS;1,1;1,1;0
139;PESSINA M.;P;P;BOLOGNA;1,1;1,1;0
141;PINSOGLIO C.;P;P;JUVENTUS;1,1;1,1;0
171;POPA M.;P;P;TORINO;1,1;1,1;0
142;PROVEDEL I.;P;P;LAZIO;30,4;28,4;2
143;RADUNOVIC B.;P;P;CAGLIARI;1,1;1,1;0
144;RAVAGLIA F.;P;P;BOLOGNA;1,1;1,1;0
