"ruolo";"nome";"costo";"squadra";"fantasquadra"
"P";"CHRISTENSEN O.";1;"Fiorentina";"Cattivo Dentro"
"P";"DE GEA D.";8;"Fiorentina";"Cattivo Dentro"
"P";"MARTINELLI M.";1;"Fiorentina";"Cattivo Dentro"
"D";"BIJOL J.";11;"Udinese";"Cattivo Dentro"
"D";"DOSSENA A.";1;"Como";"Cattivo Dentro"
"D";"HOLM E.";1;"Atalanta";"Cattivo Dentro"
"D";"KALULU P.";15;"Juventus";"Cattivo Dentro"
"D";"LUCUMI J.";1;"Bologna";"Cattivo Dentro"
"D";"POSCH S.";0;"Atalanta";"Cattivo Dentro"
"D";"VASQUEZ J.";5;"Genoa";"Cattivo Dentro"
"D";"ZANOLI A.";1;"Genoa";"Cattivo Dentro"
"C";"COLPANI A.";25;"Fiorentina";"Cattivo Dentro"
"C";"EDERSON";20;"Atalanta";"Cattivo Dentro"
"C";"FAGIOLI N.";5;"Juventus";"Cattivo Dentro"
"C";"MALDINI D.";0;"Atalanta";"Cattivo Dentro"
"C";"MALINOVSKYI R.";20;"Genoa";"Cattivo Dentro"
"C";"MAN D.";71;"Parma";"Cattivo Dentro"
"C";"ORISTANIO G.";1;"Venezia";"Cattivo Dentro"
"C";"PAZ N.";1;"Como";"Cattivo Dentro"
"A";"ADAMS C.";1;"Torino";"Cattivo Dentro"
"A";"DOUVIKAS T.";1;"Como";"Cattivo Dentro"
"A";"EL SHAARAWY S.";1;"Roma";"Cattivo Dentro"
"A";"LEAO R.";110;"Milan";"Cattivo Dentro"
"A";"LUKAKU R.";265;"Napoli";"Cattivo Dentro"
"A";"SIMEONE G.";25;"Napoli";"Cattivo Dentro"
"P";"DI GENNARO R.";1;"Inter";"Er Gelataro"
"P";"MARTINEZ J.";1;"Inter";"Er Gelataro"
"P";"SOMMER Y.";80;"Inter";"Er Gelataro"
"D";"ACERBI F.";10;"Inter";"Er Gelataro"
"D";"COCO S.";12;"Torino";"Er Gelataro"
"D";"DAHL";1;"Roma";"Er Gelataro"
"D";"DJIMSITI B.";6;"Atalanta";"Er Gelataro"
"D";"DODO";8;"Fiorentina";"Er Gelataro"
"D";"HERNANDEZ T.";50;"Milan";"Er Gelataro"
"D";"TOMORI F.";9;"Milan";"Er Gelataro"
"D";"WALKER K.";100;"Milan";"Er Gelataro"
"C";"ANGUISSA A.";1;"Napoli";"Er Gelataro"
"C";"CALHANOGLU H.";121;"Inter";"Er Gelataro"
"C";"MESSIAS J.";3;"Genoa";"Er Gelataro"
"C";"PELLEGRINI LO.";20;"Roma";"Er Gelataro"
"C";"PESSINA M.";12;"Monza";"Er Gelataro"
"C";"SAELEMAEKERS A.";1;"Roma";"Er Gelataro"
"C";"SUSLOV T.";1;"Verona";"Er Gelataro"
"C";"ZACCAGNI M.";169;"Lazio";"Er Gelataro"
"A";"COLOMBO L.";30;"Empoli";"Er Gelataro"
"A";"KRSTOVIC N.";10;"Lecce";"Er Gelataro"
"A";"LAZOVIC D.";15;"Verona";"Er Gelataro"
"A";"LUCCA L.";26;"Udinese";"Er Gelataro"
"A";"MUANI K.";335;"Juventus";"Er Gelataro"
"A";"OKAFOR N.";1;"Napoli";"Er Gelataro"
"P";"MAIGNAN M.";44;"Milan";"FC Bombolo"
"P";"SPORTIELLO M.";1;"Milan";"FC Bombolo"
"P";"TORRIANI";1;"Milan";"FC Bombolo"
"D";"BELLANOVA R.";22;"Atalanta";"FC Bombolo"
"D";"COPPOLA D.";1;"Verona";"FC Bombolo"
